id,start,end
0,1,70000
1,1,70001
2,1,70002
3,1,70003
4,1,70004
5,1,70005
6,1,70006
7,1,70007
8,1,70008
9,1,70009
10,1,70010
11,1,70011
12,1,70012
13,1,70013
14,1,70014
15,1,70015
16,1,70016
17,1,70017
18,1,70018
19,1,70019
20,1,70020
21,1,70021
22,1,70022
23,1,70023
24,1,170000
25,1,180000
26,1,180001
27,1,180002
28,1,180003
29,1,180004
30,2,70024
31,2,70025
32,2,70026
33,2,70027
34,2,70028
35,2,70029
36,2,70030
37,2,70031
38,2,70032
39,2,70033
40,2,70034
41,2,70035
42,2,70036
43,2,70037
44,2,70038
45,2,70039
46,2,70040
47,2,70041
48,2,170001
49,2,180000
50,2,180002
51,2,180004
52,3,70042
53,3,70043
54,3,70044
55,3,70045
56,3,70046
57,3,70047
58,3,70048
59,3,70049
60,3,70050
61,3,70051
62,3,70052
63,3,70053
64,3,70054
65,3,70055
66,3,70056
67,3,70057
68,3,170002
69,3,180003
70,3,180005
71,4,70058
72,4,70059
73,4,70060
74,4,70061
75,4,70062
76,4,70063
77,4,70064
78,4,70065
79,4,70066
80,4,70067
81,4,70068
82,4,70069
83,4,70070
84,4,70071
85,4,70072
86,4,70073
87,4,70074
88,4,70075
89,4,70076
90,4,70077
91,4,170003
92,4,180003
93,4,180005
94,4,180006
95,5,70078
96,5,70079
97,5,70080
98,5,70081
99,5,70082
100,5,70083
101,5,70084
102,5,70085
103,5,70086
104,5,70087
105,5,70088
106,5,70089
107,5,70090
108,5,70091
109,5,70092
110,5,70093
111,5,70094
112,5,70095
113,5,70096
114,5,70097
115,5,70098
116,5,70099
117,5,70100
118,5,70101
119,5,70102
120,5,70103
121,5,170004
122,5,180003
123,6,70061
124,6,70072
125,6,70104
126,6,70105
127,6,70106
128,6,70107
129,6,70108
130,6,70109
131,6,70110
132,6,70111
133,6,70112
134,6,70113
135,6,70114
136,6,70115
137,6,70116
138,6,70117
139,6,70118
140,6,70119
141,6,70120
142,6,70121
143,6,70122
144,6,70123
145,6,70124
146,6,70125
147,6,70126
148,6,70127
149,6,70128
150,6,70129
151,6,70130
152,6,70131
153,6,70132
154,6,70133
155,6,70134
156,6,70135
157,6,70136
158,6,70137
159,6,70138
160,6,70139
161,6,70140
162,6,70141
163,6,70142
164,6,70143
165,6,70144
166,6,70145
167,6,70146
168,6,70147
169,6,70148
170,6,170005
171,6,180007
172,6,180008
173,6,180009
174,7,70149
175,7,70150
176,7,70151
177,7,70152
178,7,70153
179,7,70154
180,7,70155
181,7,70156
182,7,70157
183,7,70158
184,7,70159
185,7,70160
186,7,70161
187,7,70162
188,7,70163
189,7,70164
190,7,70165
191,7,70166
192,7,70167
193,7,70168
194,7,70169
195,7,70170
196,7,70171
197,7,70172
198,7,70173
199,7,70174
200,7,70175
201,7,170006
202,7,180003
203,7,180005
204,8,70176
205,8,70177
206,8,70178
207,8,70179
208,8,70180
209,8,70181
210,8,70182
211,8,70183
212,8,70184
213,8,70185
214,8,70186
215,8,70187
216,8,70188
217,8,70189
218,8,70190
219,8,170007
220,8,180000
221,8,180002
222,9,70191
223,9,70192
224,9,70193
225,9,70194
226,9,70195
227,9,70196
228,9,70197
229,9,70198
230,9,70199
231,9,70200
232,9,70201
233,9,70202
234,9,70203
235,9,70204
236,9,70205
237,9,70206
238,9,70207
239,9,70208
240,9,70209
241,9,70210
242,9,70211
243,9,70212
244,9,70213
245,9,70214
246,9,70215
247,9,70216
248,9,70217
249,9,70218
250,9,70219
251,9,70220
252,9,70221
253,9,70222
254,9,70223
255,9,70224
256,9,70225
257,9,70226
258,9,70227
259,9,70228
260,9,70229
261,9,70230
262,9,70231
263,9,70232
264,9,70233
265,9,70234
266,9,70235
267,9,70236
268,9,70237
269,9,70238
270,9,70239
271,9,70240
272,9,70241
273,9,70242
274,9,70243
275,9,70244
276,9,70245
277,9,70246
278,9,70247
279,9,70248
280,9,70249
281,9,70250
282,9,70251
283,9,70252
284,9,70253
285,9,70254
286,9,70255
287,9,70256
288,9,70257
289,9,70258
290,9,70259
291,9,70260
292,9,70261
293,9,70262
294,9,170008
295,9,180007
296,10,70263
297,10,70264
298,10,70265
299,10,70266
300,10,70267
301,10,70268
302,10,70269
303,10,70270
304,10,70271
305,10,70272
306,10,70273
307,10,70274
308,10,70275
309,10,70276
310,10,70277
311,10,70278
312,10,70279
313,10,70280
314,10,70281
315,10,70282
316,10,170009
317,10,180000
318,10,180007
319,10,180009
320,11,70283
321,11,70284
322,11,70285
323,11,70286
324,11,70287
325,11,70288
326,11,70289
327,11,70290
328,11,70291
329,11,70292
330,11,70293
331,11,70294
332,11,70295
333,11,70296
334,11,70297
335,11,70298
336,11,70299
337,11,70300
338,11,70301
339,11,70302
340,11,70303
341,11,70304
342,11,70305
343,11,70306
344,11,70307
345,11,70308
346,11,70309
347,11,70310
348,11,70311
349,11,70312
350,11,70313
351,11,70314
352,11,70315
353,11,70316
354,11,70317
355,11,70318
356,11,70319
357,11,70320
358,11,70321
359,11,70322
360,11,70323
361,11,70324
362,11,170010
363,11,180003
364,11,180005
365,11,180006
366,12,70310
367,12,70325
368,12,70326
369,12,70327
370,12,70328
371,12,70329
372,12,70330
373,12,70331
374,12,70332
375,12,70333
376,12,70334
377,12,70335
378,12,70336
379,12,70337
380,12,70338
381,12,70339
382,12,70340
383,12,70341
384,12,70342
385,12,70343
386,12,70344
387,12,70345
388,12,70346
389,12,70347
390,12,70348
391,12,70349
392,12,70350
393,12,70351
