id,title,type
1,Toy story,movie
2,Jumanji,movie
3,Grumpy Old Men,movie
4,Waiting to Exhale,movie
5,Father of the Bride Part II,movie
6,Heat,movie
7,Sabrina,movie
8,Tom and Huck,movie
9,Sudden Death,movie
10,GoldenEye,movie
11,The American President,movie
12,Dracula: Dead and Loving It,movie
13,Balto,movie
14,Nixon,movie
15,Cutthroat Island,movie
16,Casino,movie
17,Sense and Sensibility,movie
18,Four Rooms,movie
19,Ace Ventura: When Nature Calls,movie
20,Money Train,movie
21,Get Shorty,movie
22,Copycat,movie
23,Ninja Assassin,movie
24,Powder,movie
25,Leaving Las Vegas,movie
26,Othello,movie
27,Now and Then,movie
28,Persuasion,movie
29,La cit?des enfants perdus,movie
30,Yao a yao yao dao waipo qiao,movie
31,Dangerous Minds,movie
32,Twelve Monkeys,movie
33,Wings of Courage,movie
34,Babe,movie
35,Carrington,movie
36,Dead Man Walking,movie
37,Across the Sea of Time,movie
38,It Takes Two,movie
39,Clueless,movie
40,"Cry, the Beloved Country",movie
41,Richard III,movie
42,Dead Presidents,movie
43,Restoration,movie
44,Mortal Kombat,movie
45,Live Free or Die Hard,movie
46,How to Make an American Quilt,movie
47,Shichinin no samurai,movie
48,Pocahontas,movie
49,When Night Is Falling,movie
50,The Usual Suspects,movie
51,Mighty Aphrodite,movie
52,Lamerica,movie
53,The Big Green,movie
54,Georgia Rule,movie
55,Kids of the Round Table,movie
56,Home for the Holidays,movie
57,Il postino,movie
58,Le confessionnal,movie
59,The Indian in the Cupboard,movie
60,Eye for an Eye,movie
61,Mr. Holland's Opus,movie
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,movie
63,Two If by Sea,movie
64,Bio-Dome,movie
65,Lawnmower Man 2: Beyond Cyberspace,movie
66,Two Bits,movie
67,Gazon maudit,movie
68,Friday,movie
69,From Dusk Till Dawn,movie
70,Fair Game,movie
71,Kicking & Screaming,movie
72,Les misérables,movie
73,Bed of Roses,movie
74,Big Bully,movie
75,Screamers,movie
76,Nico Icon,movie
77,The Crossing Guard,movie
78,The Juror,movie
79,Badkonake sefid,movie
80,Things to Do in Denver When You're Dead,movie
81,Antonia,movie
82,Once Upon a Time... When We Were Colored,movie
83,Last Summer in the Hamptons,movie
84,Angels and Insects,movie
85,White Squall,movie
86,Dunston Checks In,movie
87,Black Sheep,movie
88,Nick of Time,movie
89,The Journey of August King,movie
90,Mary Reilly,movie
91,Vampire in Brooklyn,movie
92,Beautiful Girls,movie
93,Broken Arrow,movie
94,In the Bleak Midwinter,movie
95,La haine,movie
96,Going Shopping,movie
97,Heidi Fleiss: Hollywood Madam,movie
98,City Hall,movie
99,Bottle Rocket,movie
100,Mr. Wrong,movie
101,Unforgettable,movie
102,Happy Gilmore,movie
103,The Bridges of Madison County,movie
104,Keiner liebt mich,movie
105,Muppet Treasure Island,movie
106,Braveheart,movie
107,Taxi Driver,movie
108,Hung fan kui,movie
109,Before and After,movie
110,Margaret's Museum,movie
111,Le bonheur est dans le pr?0112556,movie
112,Anne Frank Remembered,movie
113,The Young Poisoner's Handbook,movie
114,If Lucy Fell,movie
115,Steal Big Steal Little,movie
116,Race the Sun,movie
117,The Boys of St. Vincent,movie
118,Boomerang,movie
119,Chung Hing sam lam,movie
120,L'uomo delle stelle,movie
121,Flirting with Disaster,movie
122,The Neverending Story III,movie
123,Jupiter's Wife,movie
124,Pie in the Sky,movie
125,Angela's Ashes,movie
126,Frankie Starlight,movie
127,The Curse of the Jade Scorpion,movie
128,Sonic Outlaws,movie
129,Down Periscope,movie
130,From the Journals of Jean Seberg,movie
131,Man of the Year,movie
132,Hard Target,movie
133,Up Close & Personal,movie
134,The Birdcage,movie
135,Gospa,movie
136,The Brothers McMullen,movie
137,Bad Boys,movie
138,The Amazing Panda Adventure,movie
139,The Basketball Diaries,movie
